idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
166	14.3671	14.7904	52.005	0.548	57.0454	32.3466	56.2704	4.43959	100.106	56.1513	98.025	8.01166	
167	14.5071	15.0991	53.2371	0.55425	57.2596	32.5775	56.4154	4.43789	101.161	56.3179	98.0713	7.99337	
168	14.6433	14.9875	53.0546	0.55582	57.6538	32.2725	56.9529	4.44709	100.925	56.1696	99.0933	7.99707	
169	14.6258	15.0904	53.8012	0.55841	57.5129	32.3296	56.8396	4.44792	100.723	56.2704	98.472	8.00371	
170	14.7092	15.1663	54.1562	0.56083	58.2275	32.4796	56.8837	4.44497	100.721	56.2121	98.6513	8.01704	
171	14.7771	15.2225	54.6808	0.56457	57.9892	32.4942	57.0146	4.46086	101.117	56.425	98.9163	8.02166	
172	14.8717	15.3933	55.2087	0.565	57.8546	32.5563	57.4029	4.46289	100.722	56.4767	99.2125	8.02823	
173	14.9704	15.4155	55.8438	0.56245	58.0962	32.6167	57.1125	4.46749	100.915	56.5408	98.7654	8.02715	
174	15.0453	15.5254	56.6075	0.56751	58.5804	32.6809	57.3417	4.59959	100.787	56.4571	98.5354	8.02667	
175	15.1433	15.6142	56.5925	0.57295	58.725	32.6875	59.9791	4.83877	101.583	63.4946	98.6046	8.04499	
176	15.2425	15.7787	57.2663	0.57297	57.8333	32.6483	56.9779	4.47582	104.225	56.4649	98.6833	8.05461	
177	15.2954	16.1842	57.7805	0.58372	57.9166	32.6771	56.9908	4.48793	100.951	56.6704	98.9525	8.15248	
178	15.3904	15.8634	58.4783	0.57917	58.3729	32.8234	57.3037	4.48416	101.314	56.6088	98.8421	8.0458	
179	15.4808	16.0546	58.9991	0.57791	58.6855	32.7584	57.3034	4.4942	100.969	57.0013	98.9092	8.05295	
180	15.6012	16.1466	59.5325	0.58246	58.1054	32.8121	57.3679	4.49335	101.497	56.6692	99.86	8.39042	
181	16.5508	16.1126	60.3137	0.5871	58.2329	32.9404	57.9217	4.49792	102.003	57.1058	99.0613	8.06588	
182	15.9063	16.2046	61.137	0.5896	58.4325	32.9054	57.4687	4.50583	102.541	56.7729	99.4667	8.06288	
183	16.0446	16.295	61.3971	0.58956	58.9012	32.9525	57.6067	4.50828	101.899	56.8388	99.7037	8.1004	
184	15.9121	16.435	62.0396	0.59623	59.2737	32.985	57.8412	4.64167	102.089	56.9521	99.4929	8.11711	
185	15.9871	16.6863	62.7204	0.59418	58.7308	33.0783	58.1017	4.52161	102.747	57.0162	99.7517	8.07541	
186	16.0634	16.5426	63.0762	0.59916	58.6404	33.1754	57.8383	4.52006	102.135	57.3804	100.646	8.07959	
187	16.1154	16.762	63.5504	0.61497	59.0784	33.44	59.3017	4.53376	104.39	57.4337	101.575	8.19335	
188	16.3246	16.7571	64.3025	0.59664	59.3725	36.1592	68.5554	4.59329	103.061	57.1784	99.4012	8.1054	
189	16.2929	16.7796	64.8146	0.60208	59.2417	33.2846	58.0737	4.55247	101.89	57.0767	99.7233	8.1029	
190	16.3433	16.9787	65.3438	0.61001	59.02	33.3558	58.2679	4.5425	102.406	57.1533	99.8221	8.09668	
191	16.398	16.7716	65.6933	0.61128	59.1705	33.8913	58.2383	4.54749	102.149	57.2212	100.027	8.10789	
192	16.3313	16.8225	66.6696	0.61122	59.4746	33.4474	58.6017	4.55206	102.208	57.275	100.154	8.10582	
193	16.7642	16.9062	67.005	0.61791	59.2708	33.5725	58.5479	4.79709	102.385	57.3167	99.9654	8.1208	
194	16.4879	17.0858	67.4858	0.61873	59.8167	33.4679	58.6346	4.55787	102.279	57.3671	100.337	8.21998	
195	16.5758	17.0804	68.5887	0.62043	59.4179	33.7417	59.0321	4.56625	102.446	57.3475	100.494	8.12288	
196	16.6688	17.1579	68.7775	0.62417	59.5042	33.63	58.5696	4.57375	103.165	57.8992	100.53	8.12705	
197	16.7488	17.255	69.2475	0.62625	59.865	33.6725	58.9163	4.57419	102.62	57.4538	101.16	8.18038	
198	16.8225	17.3284	70.0375	0.62789	59.62	33.8012	58.8179	4.58167	102.725	57.7037	100.795	8.1371	
199	16.9141	17.4012	70.7442	0.62997	59.6917	33.7213	58.9246	4.63581	102.561	57.6124	100.554	8.1367	
200	16.9954	17.52	71.045	0.62751	59.8613	34.2467	59.2541	4.59039	102.747	57.5838	100.765	8.15369	
201	17.2995	17.81	71.9721	0.63585	59.8359	33.9338	59.1313	4.5892	103.119	57.7633	100.816	8.15039	
202	17.1396	17.6637	72.5842	0.63752	59.9421	33.8992	59.1692	4.59211	103.448	58.1283	100.916	8.18092	
203	17.2746	17.7779	72.9075	0.63998	60.0996	33.8884	59.3392	4.59627	103.13	57.8813	101.575	8.16212	
